uid, ndata, decay, undecay, delete, restore, category_anon, category_reveal
3651, 4, 4223, 4309, 6971, 6096, 1610, 1054
3661, 7, 6230, 8294, 9099, 10197, 1837, 849
3671, 1, 3171, 1605, 4245, 1812, 1091, 62
3681, 4, 4558, 4594, 6614, 5662, 1229, 59
3691, 6, 5757, 6461, 8793, 7786, 1731, 1033
3701, 8, 6201, 8747, 8945, 10595, 1271, 59
3711, 4, 4452, 4355, 5512, 5313, 1080, 59
3721, 9, 6110, 8476, 9298, 10354, 2166, 1910
3731, 3, 3404, 3557, 5470, 4215, 1184, 64
3741, 7, 5912, 6729, 8786, 9738, 2452, 2369
3751, 1, 2890, 1269, 4025, 1563, 1566, 845
3761, 1, 3340, 1856, 4643, 2587, 945, 60
3771, 3, 3914, 3569, 4966, 4385, 1593, 1141
3781, 3, 3506, 3487, 4896, 4210, 1696, 894
3791, 4, 4051, 4980, 6926, 6238, 1643, 834
3801, 2, 3553, 2566, 4050, 2605, 1210, 65
3811, 7, 5017, 6746, 7397, 6998, 2148, 2135
3821, 2, 3284, 1881, 4232, 2149, 1680, 1095
3831, 3, 3749, 3175, 5233, 3789, 1075, 56
3841, 3, 3540, 2832, 4114, 3459, 1231, 60
3851, 4, 3914, 3874, 6193, 5373, 1675, 952
3861, 2, 3717, 2856, 5178, 2925, 1033, 61
3871, 2, 3952, 3168, 5089, 3932, 1142, 66
3881, 6, 4925, 6017, 8337, 8824, 1247, 60
3891, 3, 4200, 3041, 6059, 3831, 1134, 62
3901, 7, 5721, 7391, 8207, 8820, 1376, 62
3911, 3, 3846, 2899, 5108, 3789, 1162, 64
3921, 4, 4394, 4293, 6204, 4442, 1138, 64
3931, 7, 5705, 7325, 8222, 8992, 2354, 2293
3941, 5, 4793, 5487, 6913, 6582, 2148, 2081
3951, 4, 4381, 4400, 6126, 5274, 1218, 65
3961, 8, 6815, 8581, 10565, 12369, 2192, 1388
3971, 7, 6126, 7930, 8933, 9710, 1975, 1603
3981, 1, 3211, 1614, 3842, 2010, 1053, 62
3991, 1, 2905, 2121, 4723, 2460, 1507, 903
4001, 5, 4766, 5000, 6246, 5081, 1232, 68
4011, 4, 4412, 4360, 6176, 5133, 1914, 1820
4021, 7, 6632, 9369, 10138, 11536, 1289, 69
4031, 2, 3529, 2452, 4603, 2964, 1136, 66
4041, 5, 5312, 6574, 8026, 7911, 1833, 1077
4051, 2, 3472, 2494, 4716, 2914, 1130, 63
4061, 2, 3225, 2100, 4243, 2519, 1054, 65
4071, 8, 6571, 9298, 9619, 11633, 2065, 1725
4081, 1, 2837, 1276, 3906, 1411, 1089, 61
4091, 8, 6370, 7337, 9286, 10514, 2172, 1574
4101, 3, 3976, 3027, 4916, 3844, 1720, 901
4111, 3, 3760, 4320, 6442, 5269, 1273, 66
4121, 4, 4688, 5071, 6861, 6115, 1185, 64
4131, 4, 4579, 4592, 5826, 5603, 1243, 68
4141, 4, 4060, 4656, 6506, 4759, 1732, 970
4151, 2, 3476, 2457, 4885, 2892, 1006, 62
4161, 5, 5096, 5673, 6626, 6983, 1658, 876
4171, 7, 5358, 7392, 7754, 9769, 2193, 1423
4181, 3, 3496, 2759, 4269, 3424, 1209, 62
4191, 5, 4020, 4401, 6281, 6114, 1247, 66
4201, 6, 5133, 6253, 7371, 7285, 1754, 883
4211, 5, 5510, 6963, 8364, 8398, 1155, 64
4221, 7, 5625, 6574, 6911, 7380, 1875, 878
4231, 5, 4896, 6845, 8292, 8434, 2271, 1442
4241, 3, 3647, 2474, 5124, 2899, 1063, 61
4251, 3, 4103, 3623, 5104, 3881, 1170, 65
4261, 3, 3536, 3683, 5900, 4331, 1671, 865
4271, 5, 4788, 4774, 7074, 6625, 1979, 1728
4281, 2, 3738, 2808, 4886, 3069, 1061, 57
4291, 5, 4087, 5068, 5556, 6065, 1778, 865
4301, 4, 3734, 4262, 5911, 4589, 1822, 908
4311, 4, 4284, 3780, 5802, 4341, 1247, 67
4321, 4, 4204, 4214, 5907, 5126, 1727, 985
