uid, ndata, decay, undecay, delete, restore, category_anon, category_reveal
5721, 4, 7347, 15514, 10235, 18297, 3404, 10854
5731, 3, 7581, 15473, 11027, 16302, 1942, 9176
5741, 6, 9718, 19694, 15905, 21450, 3839, 11043
5751, 2, 7159, 13225, 9140, 14398, 3994, 11139
5761, 1, 6160, 12490, 11514, 13055, 1685, 9185
5771, 5, 13974, 19078, 15781, 21422, 2209, 8954
5781, 5, 8128, 17176, 12193, 18644, 3823, 11411
5791, 3, 7355, 14452, 10168, 16384, 1836, 8818
5801, 1, 5805, 11458, 6933, 11945, 1772, 8624
5811, 4, 7806, 15273, 10286, 18495, 2087, 8705
5821, 8, 11311, 21296, 16017, 23150, 3949, 11688
5831, 6, 9178, 18373, 13033, 19784, 1971, 8816
5841, 5, 7598, 15726, 10286, 17465, 3674, 12178
5851, 6, 9824, 18186, 13931, 21391, 3806, 10459
5861, 4, 7793, 15377, 11976, 21085, 3499, 11361
5871, 1, 5283, 11753, 6443, 11861, 1850, 9096
5881, 6, 11077, 20519, 16057, 21531, 4809, 12534
5891, 7, 9396, 23000, 13277, 19972, 4029, 12125
5901, 5, 8413, 16345, 11636, 18369, 3301, 11303
5911, 2, 6452, 12767, 10846, 16090, 3480, 11033
5921, 4, 7446, 16201, 10502, 16458, 2531, 9223
5931, 7, 11172, 21139, 21978, 22750, 3891, 11358
5941, 2, 7959, 12163, 6954, 12826, 1828, 8633
5951, 5, 8204, 15081, 10733, 17287, 2455, 8707
5961, 6, 9605, 18210, 18003, 20557, 2328, 8685
5971, 5, 12155, 17298, 12191, 23674, 3443, 10933
5981, 4, 7455, 15230, 10420, 16250, 3948, 12075
5991, 3, 7294, 13705, 9421, 14592, 1883, 8798
6001, 7, 9838, 24454, 13415, 21446, 3706, 11071
6011, 2, 6150, 12904, 8049, 13365, 1745, 8868
6021, 6, 10274, 18992, 15330, 22033, 4181, 10942
6031, 3, 6846, 14377, 12944, 15543, 3422, 11186
6041, 1, 8447, 12444, 7816, 13284, 1706, 8972
6051, 7, 9897, 19207, 13910, 21749, 3950, 13282
6061, 0, 3851, 9867, 4649, 10065, 1630, 9282
6071, 3, 7602, 14604, 10667, 16264, 3311, 11095
6081, 5, 8528, 16830, 11006, 18361, 3610, 10987
6091, 5, 8870, 18025, 12542, 18786, 2076, 9049
6101, 9, 11649, 21748, 16699, 24806, 4087, 10977
6111, 2, 5956, 13060, 8126, 13764, 1953, 9095
6121, 1, 5126, 11583, 6352, 11449, 3197, 10551
6131, 7, 9670, 18926, 13495, 22960, 3597, 11196
6141, 5, 8440, 15732, 13078, 19781, 3678, 10805
6151, 4, 8188, 16111, 11929, 22212, 3626, 11284
6161, 5, 8786, 16245, 12131, 18408, 3890, 11431
6171, 3, 8047, 14307, 13570, 15157, 3553, 11137
6181, 2, 9501, 15948, 10243, 17742, 3603, 11152
6191, 3, 7068, 13941, 13501, 14981, 3352, 10665
6201, 3, 9585, 14103, 9285, 15429, 2051, 8544
6211, 4, 7417, 17368, 9804, 15854, 3862, 12787
6221, 7, 11574, 21154, 18026, 25099, 4323, 12082
6231, 3, 10460, 15025, 11540, 16766, 3866, 10583
6241, 3, 6987, 14168, 13290, 15519, 3321, 11042
6251, 3, 10816, 15957, 11556, 17472, 1822, 8960
6261, 2, 6657, 13098, 9384, 14226, 2218, 8844
6271, 5, 8748, 20206, 16118, 19110, 4038, 10478
6281, 5, 11271, 19580, 11666, 19271, 3863, 11047
6291, 7, 10750, 20071, 15679, 22612, 4197, 11539
6301, 3, 7418, 14179, 10804, 16666, 1712, 8945
6311, 6, 9705, 18570, 14601, 21184, 4078, 12824
6321, 3, 7260, 14916, 11848, 16053, 2088, 8747
6331, 1, 6063, 12110, 7918, 12636, 1565, 8879
6341, 5, 9439, 18343, 17723, 19806, 1984, 8645
6351, 3, 7905, 17934, 11134, 16429, 3361, 10995
6361, 4, 8032, 19605, 11996, 21932, 1960, 8610
6371, 7, 10083, 19439, 15657, 22397, 4070, 11590
6381, 6, 8882, 18591, 14256, 20790, 4056, 10399
6391, 6, 8819, 17391, 16133, 19001, 3681, 10980
6401, 2, 5918, 12076, 7520, 13091, 1870, 8889
6411, 1, 5038, 11651, 6685, 12461, 2426, 9712
6421, 3, 6556, 13095, 7657, 13684, 2068, 8720
6431, 1, 5581, 11935, 7875, 12753, 1500, 8941
6441, 2, 6471, 12539, 10780, 13471, 3545, 11312
6451, 4, 10732, 15273, 11544, 17677, 3795, 11500
6461, 4, 9164, 17486, 13646, 19866, 3753, 11037
6471, 5, 9788, 19075, 14680, 21468, 3648, 11343
6481, 5, 9825, 19277, 14441, 21035, 1820, 9060
6491, 5, 8957, 18344, 15006, 20831, 2377, 8919
6501, 6, 10193, 21858, 15375, 22057, 3730, 10704
6511, 3, 7120, 13604, 9323, 15606, 3117, 10516
6521, 4, 6923, 17516, 10181, 16457, 3549, 11689
6531, 5, 9304, 17662, 13496, 20019, 3738, 10929
6541, 3, 7481, 14588, 10937, 15846, 1876, 9009
6551, 2, 6353, 13455, 9191, 14528, 2020, 9554
6561, 5, 11267, 22748, 14273, 19035, 3286, 10543
6571, 4, 7972, 19122, 11965, 17443, 2008, 8332
6581, 4, 10831, 15081, 11582, 23929, 4064, 11979
6591, 3, 6851, 14185, 9119, 15757, 3743, 12150
6601, 5, 9395, 18029, 15363, 20799, 3391, 11102
6611, 6, 10546, 18629, 15366, 20824, 2105, 8670
6621, 6, 10473, 18727, 15536, 21567, 4292, 11687
6631, 8, 11025, 20764, 15872, 27956, 4552, 14060
6641, 3, 7110, 14341, 10061, 16125, 1955, 8839
6651, 5, 9036, 22238, 13569, 19497, 3408, 10721
6661, 1, 5522, 12049, 7148, 12270, 1746, 8963
6671, 5, 8702, 17101, 13760, 18618, 3415, 10770
6681, 5, 8521, 17389, 13111, 18540, 2017, 9694
6691, 5, 9725, 17315, 12891, 18225, 3779, 10820
6701, 4, 8288, 17932, 11700, 17779, 3386, 10964
6711, 2, 6349, 12622, 7860, 13852, 2063, 8668
6721, 7, 10572, 19853, 14493, 22273, 4649, 12918
6731, 1, 5652, 11934, 7244, 12101, 3257, 10750
6741, 7, 11727, 23201, 19239, 25315, 3934, 11227
6751, 1, 5306, 11577, 7077, 12141, 3069, 10985
6761, 3, 7658, 14585, 11028, 16230, 1918, 8908
6771, 2, 6225, 13082, 9012, 14146, 3251, 10631
6781, 2, 6631, 14017, 12170, 15480, 1971, 9027
6791, 4, 10557, 15219, 11103, 16569, 2068, 9003
6801, 3, 7322, 14867, 10974, 16076, 3171, 10606
6811, 3, 7212, 15074, 10344, 15620, 1885, 8689
6821, 5, 9002, 18058, 13958, 19904, 4452, 11435
6831, 10, 12946, 26796, 26980, 29068, 3723, 10813
6841, 6, 12089, 16751, 11480, 19259, 3840, 11610
6851, 4, 8728, 16192, 12940, 18226, 2149, 8967
6861, 3, 7384, 14658, 9967, 15779, 3424, 10885
6871, 6, 10584, 20784, 16752, 29636, 3394, 11104
6881, 11, 13081, 24184, 17395, 36086, 4042, 11069
6891, 0, 3928, 9832, 7313, 10342, 1685, 8807
6901, 3, 8811, 13212, 7941, 14003, 1853, 8983
6911, 4, 7869, 15970, 11303, 18586, 3353, 10634
6921, 2, 5790, 13244, 7979, 13079, 3538, 10533
6931, 6, 8672, 17008, 11633, 19816, 3561, 11244
6941, 4, 8228, 15969, 12252, 18263, 3555, 10553
6951, 1, 5091, 11510, 6147, 11424, 1868, 8785
6961, 8, 11219, 21234, 16662, 27614, 3897, 11045
6971, 8, 11016, 20309, 15911, 23829, 4928, 14375
6981, 4, 8220, 15500, 10641, 16657, 3622, 12725
6991, 4, 7997, 15381, 10818, 17604, 3603, 11141
7001, 4, 7326, 15320, 13311, 16488, 3666, 11809
7011, 3, 9606, 14521, 9401, 15171, 1939, 8963
7021, 8, 10954, 21168, 18881, 23947, 4161, 11078
7031, 6, 9910, 18987, 13474, 21560, 2165, 9209
7041, 5, 9603, 21577, 13292, 19469, 2257, 8767
7051, 2, 5987, 13130, 8951, 14241, 2092, 9098
7061, 2, 5908, 12888, 8964, 13397, 1888, 8936
7071, 4, 8223, 16062, 12640, 18117, 3290, 10751
7081, 2, 5989, 12966, 9216, 13831, 2170, 9115
7091, 6, 9583, 18178, 13517, 19839, 4119, 11912
7101, 6, 9832, 21020, 11713, 19421, 4185, 11908
7111, 4, 7785, 16580, 11673, 17253, 4547, 11983
7121, 6, 9728, 19013, 19015, 19989, 3419, 10974
7131, 5, 11050, 16345, 10552, 17433, 4005, 12177
7141, 5, 9064, 21641, 13281, 18419, 1987, 8753
7151, 9, 12241, 22651, 17397, 24675, 3583, 10793
7161, 5, 8278, 16912, 13283, 19034, 4506, 11937
7171, 3, 6986, 14215, 13283, 15658, 3667, 12145
7181, 3, 9437, 13708, 8277, 14221, 3330, 10695
7191, 4, 8914, 18888, 11651, 16766, 4631, 12023
7201, 3, 7695, 15246, 15142, 16114, 2126, 8654
7211, 3, 10105, 14284, 10258, 18521, 1819, 8797
7221, 7, 9377, 18348, 12914, 20535, 4243, 12823
7231, 2, 6146, 13955, 8185, 13380, 3153, 11032
7241, 5, 9377, 17857, 13611, 20618, 3397, 11390
7251, 5, 8625, 18232, 13941, 19805, 2367, 9245
7261, 3, 6440, 13411, 7878, 13694, 3885, 11766
7271, 2, 5771, 12264, 8145, 14288, 2012, 9096
7281, 4, 7625, 15456, 10436, 17064, 2128, 8633
7291, 8, 11477, 21393, 16557, 23202, 4501, 12430
7301, 5, 9084, 18708, 14428, 20356, 3543, 11164
7311, 7, 10601, 19752, 14841, 22158, 3781, 13182
7321, 1, 5399, 12174, 7370, 13397, 1773, 9075
7331, 3, 6237, 13410, 8735, 14283, 1929, 8895
7341, 2, 6661, 13493, 8599, 14019, 3886, 10858
7351, 2, 6560, 14291, 14029, 14896, 3279, 10798
7361, 3, 9838, 14368, 9432, 15473, 3199, 11284
7371, 2, 6422, 12561, 8550, 15469, 3576, 11020
7381, 2, 6917, 13206, 9282, 14007, 4010, 12279
7391, 3, 7231, 14445, 9738, 15749, 3387, 11591
7401, 5, 9046, 17144, 13144, 20000, 1937, 8947
7411, 5, 8048, 16437, 10927, 17763, 4065, 13412
7421, 3, 7437, 16840, 8846, 14994, 1955, 9071
7431, 5, 9298, 18318, 18028, 20311, 3520, 11341
7441, 1, 5509, 12425, 7895, 12850, 1820, 8679
7451, 3, 5840, 13121, 9242, 13866, 1936, 8682
7461, 3, 7968, 15290, 11558, 17431, 1967, 9191
7471, 6, 9666, 18877, 14108, 20389, 3603, 10331
7481, 5, 8705, 17282, 13543, 19614, 3960, 12220
7491, 4, 9194, 17393, 14038, 19505, 3446, 10890
7501, 9, 13036, 23657, 19232, 26569, 3795, 11760
7511, 4, 8521, 16620, 15997, 18798, 4017, 10481
7521, 2, 7159, 13032, 12549, 13559, 1878, 8890
7531, 7, 10571, 20168, 15427, 22811, 3771, 11286
7541, 4, 7764, 15584, 10923, 16653, 4076, 12123
7551, 1, 5246, 11880, 7302, 12589, 3317, 11097
7561, 4, 7420, 15484, 10058, 15934, 2188, 8698
7571, 4, 8723, 17049, 13534, 19032, 2051, 8684
7581, 4, 7549, 15849, 10940, 17012, 3739, 12158
7591, 2, 6032, 12790, 8025, 13567, 3431, 11912
7601, 3, 7085, 15074, 10403, 15892, 2021, 9019
7611, 7, 10347, 19400, 15215, 22128, 4882, 14155
7621, 3, 7385, 14110, 10429, 16242, 1908, 8783
7631, 3, 7873, 15960, 11884, 17480, 2064, 9141
7641, 1, 5220, 11634, 6774, 12708, 1810, 9075
7651, 2, 6626, 13221, 9009, 13782, 3232, 10525
7661, 4, 7579, 17244, 10162, 16366, 2304, 8678
7671, 1, 5319, 11885, 6975, 11820, 1932, 8681
7681, 0, 3767, 9751, 4673, 10089, 1755, 8825
7691, 4, 8379, 16150, 12031, 17313, 3473, 10993
7701, 2, 5813, 12454, 6906, 12542, 2257, 8769
7711, 9, 11050, 20772, 20489, 23350, 3694, 10396
7721, 1, 7465, 11449, 6837, 12196, 1774, 9011
7731, 4, 7642, 17738, 10605, 16075, 2174, 9011
7741, 3, 7152, 14960, 11226, 16703, 1743, 9226
7751, 4, 7836, 18147, 10294, 16441, 4022, 12200
7761, 6, 10497, 17825, 12762, 25033, 3996, 11850
7771, 3, 6766, 13454, 9035, 14533, 3869, 11231
7781, 1, 5659, 11664, 9603, 11953, 1974, 9015
7791, 5, 12368, 17992, 13525, 19777, 4372, 12637
7801, 5, 9037, 17643, 12933, 18996, 3590, 11100
7811, 5, 10503, 21963, 19065, 19273, 3374, 10979
7821, 3, 8704, 13110, 7612, 14314, 4000, 12523
7831, 5, 9740, 18580, 14218, 20868, 4025, 12454
7841, 6, 14088, 18972, 14391, 20758, 2542, 9556
7851, 3, 6669, 14358, 8604, 15128, 1914, 8884
7861, 2, 5411, 12512, 6990, 13020, 3444, 11062
7871, 3, 7717, 15220, 11781, 17863, 3536, 11878
7881, 4, 12005, 18873, 29870, 20604, 3508, 10631
7891, 2, 6454, 12780, 9401, 13803, 2007, 9586
7901, 7, 10295, 20522, 16693, 21830, 3828, 11868
7911, 3, 9722, 15915, 9191, 14688, 1788, 8804
7921, 4, 7701, 18172, 9333, 19868, 2228, 9033
7931, 7, 9209, 18349, 12034, 20352, 2033, 8949
7941, 6, 9673, 18694, 15819, 22017, 2555, 8976
7951, 2, 5708, 12752, 12551, 15688, 3439, 11463
7961, 4, 10995, 16380, 10929, 16730, 2106, 8941
7971, 7, 10601, 19714, 15365, 22959, 4061, 12799
7981, 3, 7385, 14225, 10538, 15466, 2035, 9058
7991, 5, 8618, 16301, 11761, 17867, 2069, 8645
8001, 5, 10055, 17382, 12657, 24394, 4460, 13760
8011, 5, 8442, 18100, 11393, 18510, 2069, 8735
8021, 8, 11840, 28967, 18804, 25881, 3618, 10689
8031, 3, 7779, 15482, 11812, 16724, 4549, 11878
8041, 3, 6697, 13314, 11822, 14832, 3739, 11071
8051, 7, 15573, 20951, 16497, 23100, 4175, 12166
8061, 8, 11460, 21212, 16783, 24170, 3884, 11605
8071, 5, 10483, 22455, 12151, 17879, 2423, 8848
8081, 3, 8055, 16075, 15697, 16372, 4028, 13229
8091, 7, 13779, 18823, 15380, 21360, 4444, 14874
8101, 7, 9789, 18261, 13777, 20817, 3814, 11275
8111, 3, 6518, 15747, 8782, 17427, 1953, 8671
8121, 6, 8857, 18538, 13204, 26359, 3956, 10629
8131, 3, 6589, 13312, 14009, 14803, 4114, 11343
8141, 1, 5365, 12588, 10033, 12301, 1972, 8851
8151, 6, 13047, 18039, 13488, 25929, 3525, 11077
8161, 7, 11113, 21691, 19230, 33132, 2518, 8786
8171, 3, 8109, 15320, 15448, 16182, 3550, 10293
8181, 3, 9657, 12797, 8665, 15079, 1924, 8622
8191, 6, 9640, 23549, 14325, 26929, 2203, 9804
8201, 3, 7847, 13415, 8678, 14793, 4243, 11703
8211, 9, 11435, 21857, 22150, 34487, 4220, 11894
8221, 7, 14273, 19063, 14825, 29133, 2166, 8835
8231, 2, 6676, 14309, 10234, 15161, 3416, 11045
8241, 4, 7347, 17608, 10298, 17049, 2357, 9087
8251, 6, 10459, 19149, 20449, 21493, 3486, 10399
8261, 6, 12960, 17145, 13208, 25863, 3884, 13016
8271, 6, 9015, 17094, 12640, 18316, 4208, 12069
8281, 7, 9891, 19837, 15620, 21569, 4101, 10822
8291, 3, 7023, 14538, 13573, 15948, 1955, 8699
8301, 9, 16086, 22202, 17630, 25551, 2584, 9076
8311, 9, 12543, 23748, 24892, 29339, 2691, 8921
8321, 5, 9209, 17550, 13763, 19777, 2247, 8704
